"","distance","consume","speed","temp_inside","temp_outside","gas_type","AC","rain","sun","refill.liters","refill.gas"
"1",28,5,26,21.5,12,"E10",0,0,0,45,"E10"
"2",12,4.2,30,21.5,13,"E10",0,0,0,NA,""
"3",11.2,5.5,38,21.5,15,"E10",0,0,0,NA,""
"4",12.9,3.9,36,21.5,14,"E10",0,0,0,NA,""
"5",18.5,4.5,46,21.5,15,"E10",0,0,0,NA,""
"6",8.3,6.4,50,21.5,10,"E10",0,0,0,NA,""
"7",7.8,4.4,43,21.5,11,"E10",0,0,0,NA,""
"8",12.3,5,40,21.5,6,"E10",0,0,0,NA,""
"9",4.9,6.4,26,21.5,4,"E10",0,0,0,NA,""
"10",11.9,5.3,30,21.5,9,"E10",0,0,0,NA,""
"11",12.4,5.6,42,21.5,4,"E10",0,0,0,NA,""
"12",11.8,4.6,38,21.5,0,"E10",0,0,0,NA,""
"13",12.3,5.9,59,21.5,10,"E10",0,0,0,NA,""
"14",24.7,5.1,58,21.5,12,"E10",0,0,0,NA,""
"15",12.4,4.7,46,21.5,11,"E10",0,0,0,NA,""
"16",17.3,5.1,24,21.5,5,"E10",0,0,0,NA,""
"17",33.4,5.6,36,21.5,3,"E10",0,0,0,NA,""
"18",11.8,5.1,32,21.5,3,"E10",0,0,0,NA,""
"19",25.9,4.9,39,21.5,8,"E10",0,0,0,NA,""
"20",11.8,4.7,40,21.5,4,"E10",0,0,0,NA,""
"21",25.3,5.5,32,21.5,3,"E10",0,0,0,NA,""
"22",14.2,5.9,38,21.5,1,"E10",0,0,0,NA,""
"23",17.9,5.7,37,21.5,1,"E10",0,0,0,NA,""
"24",11.8,4.7,36,21.5,1,"E10",0,0,0,NA,""
"25",12.3,5.9,62,21.5,6,"E10",0,0,0,NA,""
"26",12.4,4.1,57,21.5,9,"E10",0,0,0,NA,""
"27",18.4,5.7,21,22.5,2,"E10",0,0,0,NA,""
"28",18.4,5.8,28,21.5,3,"E10",0,0,0,NA,""
"29",18.3,5.5,29,21.5,1,"E10",0,0,0,NA,""
"30",18.4,5.7,35,21.5,4,"E10",0,0,0,NA,""
"31",12.3,5.3,51,21.5,11,"E10",0,0,0,NA,""
"32",11.8,5,29,21.5,10,"E10",0,0,0,NA,""
"33",12.3,5.6,58,21.5,8,"E10",0,0,0,NA,""
"34",32.6,4.8,40,21.5,7,"E10",0,0,0,NA,""
"35",19,4.3,36,21.5,7,"E10",0,0,0,NA,""
"36",12.1,5.7,36,21.5,8,"E10",0,0,0,NA,""
"37",20,5.2,37,21.5,4,"E10",0,0,0,NA,""
"38",4.9,7.4,26,21.5,6,"E10",0,0,0,NA,""
"39",11.8,4.8,23,21.5,9,"E10",0,0,0,NA,""
"40",12.3,6.5,58,21.5,7,"E10",0,0,0,NA,""
"41",12.4,4,55,21.5,7,"E10",1,1,0,NA,""
"42",4.5,5,29,21.5,7,"E10",1,0,0,NA,""
"43",11.7,4.6,37,21.5,6,"E10",0,0,0,NA,""
